PSolucion,PAbsorcion,PBiomasa,PPrecipitacion,PPrecipitado,KSolucion,KAbsorcion,KBiomasa,KPrecipitacion,KPrecipitado,
228.48688,0.0,436.513,5.0,335.0,0.0,0.0,568.5411,0.0,431.45892,
223.48688,0.0,436.513,5.0,340.0,0.0,0.0,568.5411,0.0,431.45892,
218.48688,0.0,436.513,5.0,345.0,0.0,0.0,568.5411,0.0,431.45892,
213.48688,0.0,436.513,5.0,350.0,0.0,0.0,568.5411,0.0,431.45892,
208.48688,0.0,436.513,5.0,355.0,0.0,0.0,568.5411,0.0,431.45892,
203.48688,0.0,436.513,5.0,360.0,0.0,0.0,568.5411,0.0,431.45892,
198.48688,0.0,436.513,5.0,365.0,0.0,0.0,568.5411,0.0,431.45892,
193.48688,0.0,436.513,5.0,370.0,0.0,0.0,568.5411,0.0,431.45892,
188.48688,0.0,436.513,5.0,375.0,0.0,0.0,568.5411,0.0,431.45892,
183.48688,0.0,436.513,5.0,380.0,0.0,0.0,568.5411,0.0,431.45892,
178.48688,0.0,436.513,5.0,385.0,0.0,0.0,568.5411,0.0,431.45892,
173.48688,0.0,436.513,5.0,390.0,0.0,0.0,568.5411,0.0,431.45892,
168.48688,0.0,436.513,5.0,395.0,0.0,0.0,568.5411,0.0,431.45892,
163.48688,0.0,436.513,5.0,400.0,0.0,0.0,568.5411,0.0,431.45892,
158.48688,0.0,436.513,5.0,405.0,0.0,0.0,568.5411,0.0,431.45892,
153.48688,0.0,436.513,5.0,410.0,0.0,0.0,568.5411,0.0,431.45892,
148.48688,0.0,436.513,5.0,415.0,0.0,0.0,568.5411,0.0,431.45892,
143.48688,0.0,436.513,5.0,420.0,0.0,0.0,568.5411,0.0,431.45892,
138.48688,0.0,436.513,5.0,425.0,0.0,0.0,568.5411,0.0,431.45892,
133.48688,0.0,436.513,5.0,430.0,0.0,0.0,568.5411,0.0,431.45892,
128.48688,0.0,436.513,5.0,435.0,0.0,0.0,568.5411,0.0,431.45892,
123.48688,0.0,436.513,5.0,440.0,0.0,0.0,568.5411,0.0,431.45892,
118.48688,0.0,436.513,5.0,445.0,0.0,0.0,568.5411,0.0,431.45892,
113.48688,0.0,436.513,5.0,450.0,0.0,0.0,568.5411,0.0,431.45892,
108.48688,0.0,436.513,5.0,455.0,0.0,0.0,568.5411,0.0,431.45892,
103.48688,0.0,436.513,5.0,460.0,0.0,0.0,568.5411,0.0,431.45892,
98.48688,0.0,436.513,5.0,465.0,0.0,0.0,568.5411,0.0,431.45892,
93.48688,0.0,436.513,5.0,470.0,0.0,0.0,568.5411,0.0,431.45892,
88.48688,0.0,436.513,5.0,475.0,0.0,0.0,568.5411,0.0,431.45892,
83.48688,0.0,436.513,5.0,480.0,0.0,0.0,568.5411,0.0,431.45892,
78.48688,0.0,436.513,5.0,485.0,0.0,0.0,568.5411,0.0,431.45892,
73.48688,0.0,436.513,5.0,490.0,0.0,0.0,568.5411,0.0,431.45892,
68.48688,0.0,436.513,5.0,495.0,0.0,0.0,568.5411,0.0,431.45892,
63.486877,0.0,436.513,5.0,500.0,0.0,0.0,568.5411,0.0,431.45892,
58.486877,0.0,436.513,5.0,505.0,0.0,0.0,568.5411,0.0,431.45892,
53.486877,0.0,436.513,5.0,510.0,0.0,0.0,568.5411,0.0,431.45892,
48.486877,0.0,436.513,5.0,515.0,0.0,0.0,568.5411,0.0,431.45892,
43.486877,0.0,436.513,5.0,520.0,0.0,0.0,568.5411,0.0,431.45892,
38.486877,0.0,436.513,5.0,525.0,0.0,0.0,568.5411,0.0,431.45892,
33.486877,0.0,436.513,5.0,530.0,0.0,0.0,568.5411,0.0,431.45892,
28.486877,0.0,436.513,5.0,535.0,0.0,0.0,568.5411,0.0,431.45892,
23.486877,0.0,436.513,5.0,540.0,0.0,0.0,568.5411,0.0,431.45892,
18.486877,0.0,436.513,5.0,545.0,0.0,0.0,568.5411,0.0,431.45892,
13.486877,0.0,436.513,5.0,550.0,0.0,0.0,568.5411,0.0,431.45892,
8.486877,0.0,436.513,5.0,555.0,0.0,0.0,568.5411,0.0,431.45892,
3.4868774,0.0,436.513,5.0,560.0,0.0,0.0,568.5411,0.0,431.45892,
0.0,0.0,436.513,3.4868774,563.4869,NaN,NaN,NaN,NaN,NaN,
