PSolucion,PAbsorcion,PBiomasa,PPrecipitacion,PPrecipitado,KSolucion,KAbsorcion,KBiomasa,KPrecipitacion,KPrecipitado,
1000.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,
982.619,12.380953,12.380953,5.0,5.0,677.09094,15.90907,15.90907,7.0,7.0,
965.0416,12.577382,24.958336,5.0,10.0,653.9378,16.153131,32.062202,7.0,14.0,
947.2519,12.78974,37.748077,5.0,15.0,630.52106,16.41673,48.478935,7.0,21.0,
929.2721,12.979791,50.727867,5.0,20.0,606.8178,16.70325,65.18219,7.0,28.0,
911.5441,12.727991,63.455856,5.0,25.0,582.8424,16.975395,82.157585,7.0,35.0,
894.09845,12.445652,75.901505,5.0,30.0,559.2281,16.614313,98.7719,7.0,42.0,
876.9548,12.143662,88.045166,5.0,35.0,536.0005,16.22761,114.999504,7.0,49.0,
860.1344,11.820396,99.86556,5.0,40.0,513.1874,15.813095,130.81259,7.0,56.0,
843.6603,11.47412,111.33968,5.0,45.0,490.81894,15.368438,146.18103,7.0,63.0,
827.55725,11.103015,122.442696,5.0,50.0,468.9278,14.891157,161.07219,7.0,70.0,
811.85205,10.705187,133.14789,5.0,55.0,447.54913,14.378664,175.45085,7.0,77.0,
796.57336,10.278707,143.42659,5.0,60.0,426.72086,13.82829,189.27914,7.0,84.0,
781.7517,9.821658,153.24825,5.0,65.0,406.4835,13.237358,202.51651,7.0,91.0,
767.4195,9.33221,162.58046,5.0,70.0,386.88022,12.603261,215.11977,7.0,98.0,
753.6108,8.808714,171.38918,5.0,75.0,367.9566,11.9236,227.04337,7.0,105.0,
740.36096,8.249826,179.639,5.0,80.0,349.76025,11.196338,238.2397,7.0,112.0,
727.7063,7.654686,187.2937,5.0,85.0,332.34024,10.420026,248.65973,7.0,119.0,
715.6832,7.023099,194.3168,5.0,90.0,315.7462,9.594057,258.25378,7.0,126.0,
