PSolucion,PAbsorcion,PBiomasa,PPrecipitacion,PPrecipitado,KSolucion,KAbsorcion,KBiomasa,KPrecipitacion,KPrecipitado,
704.32745,6.355779,200.67258,5.0,95.0,300.0272,8.719006,266.97278,7.0,133.0,
693.67285,5.6546063,206.32718,5.0,100.0,285.23022,7.7969575,274.76974,7.0,140.0,
683.75,4.92288,211.25006,5.0,105.0,271.39835,6.8318887,281.60162,7.0,147.0,
674.5845,4.16555,215.41562,5.0,110.0,258.56836,5.830002,287.43164,7.0,154.0,
666.1951,3.3893485,218.80496,5.0,115.0,246.76842,4.79994,292.23157,7.0,161.0,
658.59235,2.6027956,221.40776,5.0,120.0,236.0156,3.7528286,295.9844,7.0,168.0,
651.77637,1.8160038,223.22377,5.0,125.0,226.31352,2.7020714,298.68646,7.0,175.0,
645.73615,1.0402508,224.26402,5.0,130.0,217.65071,1.662812,300.34927,7.0,182.0,
640.4488,0.2873345,224.55136,5.0,135.0,209.99965,0.65106314,301.00034,7.0,189.0,
635.4488,0.0,224.55136,5.0,140.0,202.99965,0.0,301.00034,7.0,196.0,
630.4488,0.0,224.55136,5.0,145.0,195.99965,0.0,301.00034,7.0,203.0,
625.4488,0.0,224.55136,5.0,150.0,188.99965,0.0,301.00034,7.0,210.0,
620.4488,0.0,224.55136,5.0,155.0,181.99965,0.0,301.00034,7.0,217.0,
615.4488,0.0,224.55136,5.0,160.0,174.99965,0.0,301.00034,7.0,224.0,
610.4488,0.0,224.55136,5.0,165.0,167.99965,0.0,301.00034,7.0,231.0,
605.4488,0.0,224.55136,5.0,170.0,160.99965,0.0,301.00034,7.0,238.0,
600.4488,0.0,224.55136,5.0,175.0,153.99965,0.0,301.00034,7.0,245.0,
595.4488,0.0,224.55136,5.0,180.0,146.99965,0.0,301.00034,7.0,252.0,
590.4488,0.0,224.55136,5.0,185.0,139.99965,0.0,301.00034,7.0,259.0,
585.4488,0.0,224.55136,5.0,190.0,132.99965,0.0,301.00034,7.0,266.0,
580.4488,0.0,224.55136,5.0,195.0,125.99965,0.0,301.00034,7.0,273.0,
575.4488,0.0,224.55136,5.0,200.0,118.99965,0.0,301.00034,7.0,280.0,
570.4488,0.0,224.55136,5.0,205.0,111.99965,0.0,301.00034,7.0,287.0,
565.4488,0.0,224.55136,5.0,210.0,104.99965,0.0,301.00034,7.0,294.0,
560.4488,0.0,224.55136,5.0,215.0,97.99965,0.0,301.00034,7.0,301.0,
555.4488,0.0,224.55136,5.0,220.0,90.99965,0.0,301.00034,7.0,308.0,
550.4488,0.0,224.55136,5.0,225.0,83.99965,0.0,301.00034,7.0,315.0,
545.4488,0.0,224.55136,5.0,230.0,76.99965,0.0,301.00034,7.0,322.0,
540.4488,0.0,224.55136,5.0,235.0,69.99965,0.0,301.00034,7.0,329.0,
535.4488,0.0,224.55136,5.0,240.0,62.99965,0.0,301.00034,7.0,336.0,
530.4488,0.0,224.55136,5.0,245.0,55.99965,0.0,301.00034,7.0,343.0,
525.4488,0.0,224.55136,5.0,250.0,48.99965,0.0,301.00034,7.0,350.0,
520.4488,0.0,224.55136,5.0,255.0,41.99965,0.0,301.00034,7.0,357.0,
515.4488,0.0,224.55136,5.0,260.0,34.99965,0.0,301.00034,7.0,364.0,
510.4488,0.0,224.55136,5.0,265.0,27.99965,0.0,301.00034,7.0,371.0,
505.4488,0.0,224.55136,5.0,270.0,20.99965,0.0,301.00034,7.0,378.0,
500.4488,0.0,224.55136,5.0,275.0,13.999649,0.0,301.00034,7.0,385.0,
495.4488,0.0,224.55136,5.0,280.0,6.999649,0.0,301.00034,7.0,392.0,
490.4488,0.0,224.55136,5.0,285.0,0.0,0.0,301.00034,6.999649,398.99963,
485.4488,0.0,224.55136,5.0,290.0,0.0,0.0,301.00034,0.0,398.99963,
480.4488,0.0,224.55136,5.0,295.0,0.0,0.0,301.00034,0.0,398.99963,
475.4488,0.0,224.55136,5.0,300.0,0.0,0.0,301.00034,0.0,398.99963,
470.4488,0.0,224.55136,5.0,305.0,0.0,0.0,301.00034,0.0,398.99963,
465.4488,0.0,224.55136,5.0,310.0,0.0,0.0,301.00034,0.0,398.99963,
460.4488,0.0,224.55136,5.0,315.0,0.0,0.0,301.00034,0.0,398.99963,
455.4488,0.0,224.55136,5.0,320.0,0.0,0.0,301.00034,0.0,398.99963,
450.4488,0.0,224.55136,5.0,325.0,0.0,0.0,301.00034,0.0,398.99963,
445.4488,0.0,224.55136,5.0,330.0,0.0,0.0,301.00034,0.0,398.99963,
440.4488,0.0,224.55136,5.0,335.0,0.0,0.0,301.00034,0.0,398.99963,
435.4488,0.0,224.55136,5.0,340.0,0.0,0.0,301.00034,0.0,398.99963,
430.4488,0.0,224.55136,5.0,345.0,0.0,0.0,301.00034,0.0,398.99963,
425.4488,0.0,224.55136,5.0,350.0,0.0,0.0,301.00034,0.0,398.99963,
420.4488,0.0,224.55136,5.0,355.0,0.0,0.0,301.00034,0.0,398.99963,
415.4488,0.0,224.55136,5.0,360.0,0.0,0.0,301.00034,0.0,398.99963,
410.4488,0.0,224.55136,5.0,365.0,0.0,0.0,301.00034,0.0,398.99963,
405.4488,0.0,224.55136,5.0,370.0,0.0,0.0,301.00034,0.0,398.99963,
400.4488,0.0,224.55136,5.0,375.0,0.0,0.0,301.00034,0.0,398.99963,
395.4488,0.0,224.55136,5.0,380.0,0.0,0.0,301.00034,0.0,398.99963,
390.4488,0.0,224.55136,5.0,385.0,0.0,0.0,301.00034,0.0,398.99963,
385.4488,0.0,224.55136,5.0,390.0,0.0,0.0,301.00034,0.0,398.99963,
380.4488,0.0,224.55136,5.0,395.0,0.0,0.0,301.00034,0.0,398.99963,
375.4488,0.0,224.55136,5.0,400.0,0.0,0.0,301.00034,0.0,398.99963,
370.4488,0.0,224.55136,5.0,405.0,0.0,0.0,301.00034,0.0,398.99963,
365.4488,0.0,224.55136,5.0,410.0,0.0,0.0,301.00034,0.0,398.99963,
360.4488,0.0,224.55136,5.0,415.0,0.0,0.0,301.00034,0.0,398.99963,
355.4488,0.0,224.55136,5.0,420.0,0.0,0.0,301.00034,0.0,398.99963,
350.4488,0.0,224.55136,5.0,425.0,0.0,0.0,301.00034,0.0,398.99963,
345.4488,0.0,224.55136,5.0,430.0,0.0,0.0,301.00034,0.0,398.99963,
340.4488,0.0,224.55136,5.0,435.0,0.0,0.0,301.00034,0.0,398.99963,
335.4488,0.0,224.55136,5.0,440.0,0.0,0.0,301.00034,0.0,398.99963,
330.4488,0.0,224.55136,5.0,445.0,0.0,0.0,301.00034,0.0,398.99963,
325.4488,0.0,224.55136,5.0,450.0,0.0,0.0,301.00034,0.0,398.99963,
320.4488,0.0,224.55136,5.0,455.0,0.0,0.0,301.00034,0.0,398.99963,
315.4488,0.0,224.55136,5.0,460.0,0.0,0.0,301.00034,0.0,398.99963,
310.4488,0.0,224.55136,5.0,465.0,0.0,0.0,301.00034,0.0,398.99963,
305.4488,0.0,224.55136,5.0,470.0,0.0,0.0,301.00034,0.0,398.99963,
300.4488,0.0,224.55136,5.0,475.0,0.0,0.0,301.00034,0.0,398.99963,
295.4488,0.0,224.55136,5.0,480.0,0.0,0.0,301.00034,0.0,398.99963,
290.4488,0.0,224.55136,5.0,485.0,0.0,0.0,301.00034,0.0,398.99963,
285.4488,0.0,224.55136,5.0,490.0,0.0,0.0,301.00034,0.0,398.99963,
280.4488,0.0,224.55136,5.0,495.0,0.0,0.0,301.00034,0.0,398.99963,
275.4488,0.0,224.55136,5.0,500.0,0.0,0.0,301.00034,0.0,398.99963,
270.4488,0.0,224.55136,5.0,505.0,0.0,0.0,301.00034,0.0,398.99963,
265.4488,0.0,224.55136,5.0,510.0,0.0,0.0,301.00034,0.0,398.99963,
260.4488,0.0,224.55136,5.0,515.0,0.0,0.0,301.00034,0.0,398.99963,
255.44879,0.0,224.55136,5.0,520.0,0.0,0.0,301.00034,0.0,398.99963,
250.44879,0.0,224.55136,5.0,525.0,0.0,0.0,301.00034,0.0,398.99963,
245.44879,0.0,224.55136,5.0,530.0,0.0,0.0,301.00034,0.0,398.99963,
240.44879,0.0,224.55136,5.0,535.0,0.0,0.0,301.00034,0.0,398.99963,
235.44879,0.0,224.55136,5.0,540.0,0.0,0.0,301.00034,0.0,398.99963,
230.44879,0.0,224.55136,5.0,545.0,0.0,0.0,301.00034,0.0,398.99963,
225.44879,0.0,224.55136,5.0,550.0,0.0,0.0,301.00034,0.0,398.99963,
220.44879,0.0,224.55136,5.0,555.0,0.0,0.0,301.00034,0.0,398.99963,
215.44879,0.0,224.55136,5.0,560.0,0.0,0.0,301.00034,0.0,398.99963,
210.44879,0.0,224.55136,5.0,565.0,0.0,0.0,301.00034,0.0,398.99963,
205.44879,0.0,224.55136,5.0,570.0,0.0,0.0,301.00034,0.0,398.99963,
200.44879,0.0,224.55136,5.0,575.0,0.0,0.0,301.00034,0.0,398.99963,
195.44879,0.0,224.55136,5.0,580.0,0.0,0.0,301.00034,0.0,398.99963,
190.44879,0.0,224.55136,5.0,585.0,0.0,0.0,301.00034,0.0,398.99963,
185.44879,0.0,224.55136,5.0,590.0,0.0,0.0,301.00034,0.0,398.99963,
180.44879,0.0,224.55136,5.0,595.0,0.0,0.0,301.00034,0.0,398.99963,
175.44879,0.0,224.55136,5.0,600.0,0.0,0.0,301.00034,0.0,398.99963,
170.44879,0.0,224.55136,5.0,605.0,0.0,0.0,301.00034,0.0,398.99963,
165.44879,0.0,224.55136,5.0,610.0,0.0,0.0,301.00034,0.0,398.99963,
160.44879,0.0,224.55136,5.0,615.0,0.0,0.0,301.00034,0.0,398.99963,
155.44879,0.0,224.55136,5.0,620.0,0.0,0.0,301.00034,0.0,398.99963,
150.44879,0.0,224.55136,5.0,625.0,0.0,0.0,301.00034,0.0,398.99963,
145.44879,0.0,224.55136,5.0,630.0,0.0,0.0,301.00034,0.0,398.99963,
140.44879,0.0,224.55136,5.0,635.0,0.0,0.0,301.00034,0.0,398.99963,
135.44879,0.0,224.55136,5.0,640.0,0.0,0.0,301.00034,0.0,398.99963,
130.44879,0.0,224.55136,5.0,645.0,0.0,0.0,301.00034,0.0,398.99963,
125.44879,0.0,224.55136,5.0,650.0,0.0,0.0,301.00034,0.0,398.99963,
120.44879,0.0,224.55136,5.0,655.0,0.0,0.0,301.00034,0.0,398.99963,
115.44879,0.0,224.55136,5.0,660.0,0.0,0.0,301.00034,0.0,398.99963,
110.44879,0.0,224.55136,5.0,665.0,0.0,0.0,301.00034,0.0,398.99963,
105.44879,0.0,224.55136,5.0,670.0,0.0,0.0,301.00034,0.0,398.99963,
100.44879,0.0,224.55136,5.0,675.0,0.0,0.0,301.00034,0.0,398.99963,
95.44879,0.0,224.55136,5.0,680.0,0.0,0.0,301.00034,0.0,398.99963,
90.44879,0.0,224.55136,5.0,685.0,0.0,0.0,301.00034,0.0,398.99963,
85.44879,0.0,224.55136,5.0,690.0,0.0,0.0,301.00034,0.0,398.99963,
80.44879,0.0,224.55136,5.0,695.0,0.0,0.0,301.00034,0.0,398.99963,
75.44879,0.0,224.55136,5.0,700.0,0.0,0.0,301.00034,0.0,398.99963,
70.44879,0.0,224.55136,5.0,705.0,0.0,0.0,301.00034,0.0,398.99963,
65.44879,0.0,224.55136,5.0,710.0,0.0,0.0,301.00034,0.0,398.99963,
60.44879,0.0,224.55136,5.0,715.0,0.0,0.0,301.00034,0.0,398.99963,
55.44879,0.0,224.55136,5.0,720.0,0.0,0.0,301.00034,0.0,398.99963,
50.44879,0.0,224.55136,5.0,725.0,0.0,0.0,301.00034,0.0,398.99963,
45.44879,0.0,224.55136,5.0,730.0,0.0,0.0,301.00034,0.0,398.99963,
40.44879,0.0,224.55136,5.0,735.0,0.0,0.0,301.00034,0.0,398.99963,
35.44879,0.0,224.55136,5.0,740.0,0.0,0.0,301.00034,0.0,398.99963,
30.448792,0.0,224.55136,5.0,745.0,0.0,0.0,301.00034,0.0,398.99963,
25.448792,0.0,224.55136,5.0,750.0,0.0,0.0,301.00034,0.0,398.99963,
20.448792,0.0,224.55136,5.0,755.0,0.0,0.0,301.00034,0.0,398.99963,
15.4487915,0.0,224.55136,5.0,760.0,0.0,0.0,301.00034,0.0,398.99963,
10.4487915,0.0,224.55136,5.0,765.0,0.0,0.0,301.00034,0.0,398.99963,
5.4487915,0.0,224.55136,5.0,770.0,0.0,0.0,301.00034,0.0,398.99963,
0.4487915,0.0,224.55136,5.0,775.0,0.0,0.0,301.00034,0.0,398.99963,
0.0,0.0,224.55136,0.4487915,775.4488,NaN,NaN,NaN,NaN,NaN,
